sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
208332	P6D	P6D_1.fq.gz	7ffbdc8662a9731347aca640adb8bd5811fb52bd5c2638e3d18f2f58f39cfdb2	P6D_2.fq.gz	48bfa198bc26217f090bdfb4d6cf9d932439fd477e193c5d5248807bba36ecb6	1068	20241029T082842_grilljo1	358954	245584	6006	243688	5915	226	16	1670	75	224557	92	8916	3241	1639	1131	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208367	D21E	D21E_1.fq.gz	41098a1cbc92716fe0b55aee36bb9ce583530d90f940191f339ab079458b3c39	D21E_2.fq.gz	3575589475e6c8922cd4ce2302e3743e1c68e75e5a38957d8dace335ae71304f	1068	20241029T082842_grilljo1	318207	215934	5239	214625	5191	593	25	716	23	193312	92	8265	2699	0	860	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	-9.35000000	152.03333300	20171106	0-13
208306	P2B	P2B_1.fq.gz	88e817cab663718ee9fef0fd7a2dceff1073f3874d4d6156fe244034d2398d76	P2B_2.fq.gz	42d5023285db2dfb41e1a924b8558329fd59c5c9b2ccbe67e78e030668218dfb	1068	20241029T082842_grilljo1	308703	209625	6012	209093	5978	74	11	458	23	188729	100	2388	1199	4859	1374	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	7.78333300	134.58333300	20180106	0-16
208347	C_P_E	C_P_E_1.fq.gz	e83dda0eee8db3581d85e73c239cb6c8da7ef3594a17b2892abe6985bd9946f4	C_P_E_2.fq.gz	ab76fe5c3d9d981428ffbd6be476b4f063611868fdfbb341d6321e849a0135d4	1068	20241029T082842_grilljo1	312162	216206	5302	214509	5240	0	0	1697	62	198917	84	9873	4293	1104	288	0	0	0	0	0	PCR_control	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208355	P16F	P16F_1.fq.gz	c34ceb169044aaf2854394715ac7c6f83db60f8be41799f3501d87778f8c5fe6	P16F_2.fq.gz	708f6194a0c19c3b17ababa6d63a0ee115188d118724f9b477f723f2325820da	1068	20241029T082842_grilljo1	289546	206665	4819	205594	4778	233	18	838	23	189822	100	8364	3758	1181	752	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208370	G_PCR	G_PCR_1.fq.gz	1c2dd6ebbfd9d7f387573d67163a0058131a954dd0bda026fa28d9bf545fcacc	G_PCR_2.fq.gz	beab7f7691234474d9e5988a19c1bde349bb5e2989d3618faaf7b7e80d1f3bfa	1068	20241029T082842_grilljo1	480640	337230	7654	336193	7599	270	8	767	47	300396	88	17057	5019	2418	122	0	0	0	0	0	PCR_control	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	-9.35000000	152.03333300	20171106	0-13
208341	P4E	P4E_1.fq.gz	90ef6723504766d548e839bd78195f096250915474e96e8a1fc500125444579b	P4E_2.fq.gz	124f9b4cf27c417b14140c9a9c7e8c72b5b0bd10f597d810883e436d78200783	1068	20241029T082842_grilljo1	420428	296988	6997	294835	6921	420	12	1733	64	272414	97	19410	7053	4033	846	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208318	D3B	D3B_1.fq.gz	3335adf6893eaf7f593bc9eecfc9accddb59fadbe626606da8a1fb04d395704a	D3B_2.fq.gz	834cc940780307985d50202f16f5df23187a3284acefe5f00f96cc173357d9ab	1068	20241029T082842_grilljo1	313061	204384	5029	202289	4965	128	7	1967	57	186522	93	15338	3088	2685	12	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	7.78333300	134.58333300	20180106	0-16
208314	C_P_B	C_P_B_1.fq.gz	00b8e9032df48d3b9ce9e24a55045b9bad43ea571371e8f427f751942f694573	C_P_B_2.fq.gz	1ee0ad144e46663e4d2f47ad942ee126cafa3fe24703d11935cb8773dbeaef03	1068	20241029T082842_grilljo1	363499	254521	6219	253245	6176	324	11	952	32	232936	100	18744	4792	2139	92	0	0	0	0	0	PCR_control	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	7.78333300	134.58333300	20180106	0-16
208353	P5F	P5F_1.fq.gz	4dcf1bc09d43d7aa470f4751def8b2f1a0351e327c167bd0d3fdaab396f225ee	P5F_2.fq.gz	b7cc2b0d202ec06d362b4d41c8e706294f3520d6330ea80c763fc69064562291	1068	20241029T082842_grilljo1	335105	241357	5895	240308	5829	273	19	776	47	217934	78	13069	3031	2450	1064	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208343	P6E	P6E_1.fq.gz	d26f018e1259248d8873852c2dd7510e2b8ecd2436e6fece9a53e909e9e8e3ef	P6E_2.fq.gz	8519d86b061964851aef577c5bd8088a93a988432d54164020f126000138b6ab	1068	20241029T082842_grilljo1	499465	354722	8226	351760	8106	328	16	2634	104	321149	85	17896	4589	9771	1115	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208329	P3D	P3D_1.fq.gz	a750e8036b1f7e9cc6cbd903fd94291112c011db8cb8a861a3efd8d136b39505	P3D_2.fq.gz	72283f0e0d8dc7cdc79113239382fe3540cb6ba23c7058a79b84403a7a252759	1068	20241029T082842_grilljo1	347565	242808	5944	241286	5861	443	18	1079	65	221951	100	18362	3733	2776	145	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208363	D4E	D4E_1.fq.gz	b890d9ef0f026e8f5e41298efcb08a42f34c7f184a90a29a8a02294ad9ae6447	D4E_2.fq.gz	1e9cf66bc5ef4ef6d8507289e1904dbc3906a62ba8da47ab5715427c4de8ec4d	1068	20241029T082842_grilljo1	468401	326348	7660	322459	7512	556	29	3333	119	281636	82	11272	4004	3610	363	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	-9.35000000	152.03333300	20171106	0-13
208331	P5D	P5D_1.fq.gz	ca007086b5acbb05d73a90aa28dad768db5a29732600b4546a3604d9f322e9e7	P5D_2.fq.gz	55d3141f08993f4196d1964b1e62288a35c1e4cde7c6ef29fbe443f86eb3b47e	1068	20241029T082842_grilljo1	291483	200544	4979	199455	4923	690	36	399	20	181803	102	15128	3992	2389	428	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208328	P2D	P2D_1.fq.gz	c6aa0bccfdb8e9dfd7994e50a6a271f7e8dac7f6fb9ec56b0b3066ee2a671c6a	P2D_2.fq.gz	0faefc23e4c44eca57feff3ddda630c2160f09dec964a8c075134cd7a5e6c31a	1068	20241029T082842_grilljo1	374801	261653	6504	259683	6419	966	35	1004	50	242137	100	22013	3819	2722	663	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208349	P1F	P1F_1.fq.gz	3b210f0e1711f13f6340f17df895498e8f7f191b86300c7c152a25ac3d3f5811	P1F_2.fq.gz	e970ccdcc1f4c22eb2ee689d0481cc955e9fb1ff77390b40bf5788c05fea8de1	1068	20241029T082842_grilljo1	376962	275775	5975	273689	5898	232	10	1854	67	254986	101	15340	7310	1734	735	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208308	P4B	P4B_1.fq.gz	1d9f0352817dfcb914b26c5c6c44b291044171550c4d97c2d3a4fad0bc886c44	P4B_2.fq.gz	6702c80a06a4e9f3f7d6ba03efade32ec328381e6e9ceedb0dffea1b5e5d9135	1068	20241029T082842_grilljo1	371009	257172	6174	255542	6102	841	37	789	35	233386	108	17715	3930	0	1455	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	7.78333300	134.58333300	20180106	0-16
208357	P18F	P18F_1.fq.gz	8d1e3299b0dabfcbf0a14f3d7b559a177e7f448b2c77a70c3f8ff0efc870c6aa	P18F_2.fq.gz	8a8d9b98c6c5ebcdc24f640d5061ec026615e766d04e38ad5e321794e41f30c8	1068	20241029T082842_grilljo1	435248	316056	6985	312702	6881	151	6	3203	98	284704	90	18524	2431	2617	541	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208338	P1E	P1E_1.fq.gz	5e05ec4d19a4ed039282e0f4a1c49a1103a9ac88e698738bb8db69a577d7b915	P1E_2.fq.gz	35548eca22ca44ad60fef7409c433f2761f822e346c34dc06a4d3f7fc5239572	1068	20241029T082842_grilljo1	293849	199303	5177	197820	5089	872	52	611	36	183232	93	12121	3382	2788	165	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208365	D6E	D6E_1.fq.gz	5536e462340326118d29db0e5a933bc2e3f3072715a54ad1180a86a951451365	D6E_2.fq.gz	8bbedae23795c20c6704868e403e6c0de20207ed49f0201f9623db73e8c746c8	1068	20241029T082842_grilljo1	491945	345744	8172	344679	8116	353	17	712	39	306959	96	23598	6684	2563	1670	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	-9.35000000	152.03333300	20171106	0-13
208319	D4B	D4B_1.fq.gz	90a153397e0c66f03a9d7220533142279edede24a8b528edfdbc38ba04b839f9	D4B_2.fq.gz	30f297751acfa5c4296fe2af05ec1b93760ba4371587d1af307148f2beca58db	1068	20241029T082842_grilljo1	243120	167115	4233	165437	4167	158	2	1520	64	153842	105	13186	3995	1526	76	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	7.78333300	134.58333300	20180106	0-16
208334	P17D	P17D_1.fq.gz	a4903c66c0ab794e387d4b9780e67502d1a895f79b9db5ebfe4f20cf877adc03	P17D_2.fq.gz	1369a64d82f1d0a9a986d799f0ce1278c1d0f8d64f30ba07c19ea76758536b6e	1068	20241029T082842_grilljo1	260118	180511	4570	178727	4491	624	34	1160	45	162067	99	14627	1955	2723	1095	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208362	D3E	D3E_1.fq.gz	cf887428a85e63419b90884786020de77cd63db5fb0a08663931e0b89ebef4f8	D3E_2.fq.gz	92fc24d457510c8a1bb38788cc0d5db81d5141e019052409424b74998b996180	1068	20241029T082842_grilljo1	471066	327406	7781	326617	7724	563	27	226	30	301792	101	25306	4955	3231	708	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	-9.35000000	152.03333300	20171106	0-13
