Location,Time period,Time_UTC,Latitude_North,Longitude_East,Bleaching_alert_area,Degree_heating_week_Celsius_Week,Coral_bleaching_hotspot_Celsius,SST_Celsius,SST_Anomaly_Celsius
Palau,1985_1990,1985-04-01T12:00:00Z,7.775,134.575,0,0.0,-0.59,28.63,47.000.000.000.000.000
Palau,1985_1990,1985-04-02T12:00:00Z,7.775,134.575,0,0.0,-0.44,28.78,0.6
Palau,1985_1990,1985-04-03T12:00:00Z,7.775,134.575,0,0.0,-0.62,28.6,0.4
Palau,1985_1990,1985-04-04T12:00:00Z,7.775,134.575,0,0.0,-7.000.000.000.000.000,28.52,0.3
Palau,1985_1990,1985-04-05T12:00:00Z,7.775,134.575,0,0.0,-0.76,28.46,0.22
Palau,1985_1990,1985-04-06T12:00:00Z,7.775,134.575,0,0.0,-0.97,28.25,-0.01
Palau,1985_1990,1985-04-07T12:00:00Z,7.775,134.575,0,0.0,-1.21,28.01,-0.27
Palau,1985_1990,1985-04-08T12:00:00Z,7.775,134.575,0,0.0,-1.17,28.05,-0.24
Palau,1985_1990,1985-04-09T12:00:00Z,7.775,134.575,0,0.0,-1.0,28.22,-0.09
Palau,1985_1990,1985-04-10T12:00:00Z,7.775,134.575,0,0.0,-0.97,28.25,-0.08
Palau,1985_1990,1985-04-11T12:00:00Z,7.775,134.575,0,0.0,-1.36,27.86,-0.49
Palau,1985_1990,1985-04-12T12:00:00Z,7.775,134.575,0,0.0,-1.51,27.71,-0.66
Palau,1985_1990,1985-04-13T12:00:00Z,7.775,134.575,0,0.0,-1.26,27.96,-0.43
Palau,1985_1990,1985-04-14T12:00:00Z,7.775,134.575,0,0.0,-0.9,28.32,-0.09
Palau,1985_1990,1985-04-15T12:00:00Z,7.775,134.575,0,0.0,-7.000.000.000.000.000,28.52,0.09
Palau,1985_1990,1985-04-16T12:00:00Z,7.775,134.575,0,0.0,-0.63,28.59,0.14
Palau,1985_1990,1985-04-17T12:00:00Z,7.775,134.575,0,0.0,-0.63,28.59,0.11
Palau,1985_1990,1985-04-18T12:00:00Z,7.775,134.575,0,0.0,-0.79,28.43,-0.07
Palau,1985_1990,1985-04-19T12:00:00Z,7.775,134.575,0,0.0,-0.81,28.41,-0.11
Palau,1985_1990,1985-04-20T12:00:00Z,7.775,134.575,0,0.0,-0.76,28.46,-0.09
Palau,1985_1990,1985-04-21T12:00:00Z,7.775,134.575,0,0.0,-0.12,29.1,0.53
Palau,1985_1990,1985-04-22T12:00:00Z,7.775,134.575,1,0.0,0.08,29.3,7.000.000.000.000.000
Palau,1985_1990,1985-04-23T12:00:00Z,7.775,134.575,1,0.0,0.01,29.23,0.61
Palau,1985_1990,1985-04-24T12:00:00Z,7.775,134.575,1,0.0,0.06,29.28,0.64
Palau,1985_1990,1985-04-25T12:00:00Z,7.775,134.575,1,0.0,35.000.000.000.000.000,29.57,0.9
Palau,1985_1990,1985-04-26T12:00:00Z,7.775,134.575,1,0.0,0.32,29.54,0.85
Palau,1985_1990,1985-04-27T12:00:00Z,7.775,134.575,1,0.0,0.33,29.55,0.84
Palau,1985_1990,1985-04-28T12:00:00Z,7.775,134.575,1,0.0,0.38,29.6,0.86
Palau,1985_1990,1985-04-29T12:00:00Z,7.775,134.575,1,0.0,0.42,29.64,0.88
Palau,1985_1990,1985-04-30T12:00:00Z,7.775,134.575,1,0.0,0.38,29.6,8.200.000.000.000.000
Palau,1985_1990,1985-05-01T12:00:00Z,7.775,134.575,0,0.0,-0.1,29.12,0.31
Palau,1985_1990,1985-05-02T12:00:00Z,7.775,134.575,0,0.0,-0.16,29.060.000.000.000.000,0.23
Palau,1985_1990,1985-05-03T12:00:00Z,7.775,134.575,0,0.0,-0.02,29.2,0.34
Palau,1985_1990,1985-05-04T12:00:00Z,7.775,134.575,1,0.0,0.1,29.32,0.44
Palau,1985_1990,1985-05-05T12:00:00Z,7.775,134.575,0,0.0,-0.16,29.060.000.000.000.000,0.16
Palau,1985_1990,1985-05-06T12:00:00Z,7.775,134.575,1,0.0,0.06,29.28,35.000.000.000.000.000
Palau,1985_1990,1985-05-07T12:00:00Z,7.775,134.575,1,0.0,0.08,29.3,35.000.000.000.000.000
Palau,1985_1990,1985-05-08T12:00:00Z,7.775,134.575,1,0.0,0.04,29.26,0.29
Palau,1985_1990,1985-05-09T12:00:00Z,7.775,134.575,0,0.0,-0.21,29.01,0.01
Palau,1985_1990,1985-05-10T12:00:00Z,7.775,134.575,0,0.0,-0.65,28.57,-0.45
Palau,1985_1990,1985-05-11T12:00:00Z,7.775,134.575,0,0.0,-41.000.000.000.000.000,28.810.000.000.000.000,-0.24
Palau,1985_1990,1985-05-12T12:00:00Z,7.775,134.575,0,0.0,-0.13,29.09,0.02
Palau,1985_1990,1985-05-13T12:00:00Z,7.775,134.575,1,0.0,0.25,29.47,0.38
Palau,1985_1990,1985-05-14T12:00:00Z,7.775,134.575,1,0.0,0.39,29.61,0.49
Palau,1985_1990,1985-05-15T12:00:00Z,7.775,134.575,1,0.0,0.21,29.43,0.29
Palau,1985_1990,1985-05-16T12:00:00Z,7.775,134.575,0,0.0,-0.11,29.11,-0.03
Palau,1985_1990,1985-05-17T12:00:00Z,7.775,134.575,0,0.0,-0.2,29.02,-0.13
Palau,1985_1990,1985-05-18T12:00:00Z,7.775,134.575,0,0.0,-0.24,28.98,-0.17
Palau,1985_1990,1985-05-19T12:00:00Z,7.775,134.575,0,0.0,-0.23,28.990.000.000.000.000,-0.16
Palau,1985_1990,1985-05-20T12:00:00Z,7.775,134.575,0,0.0,-0.23,28.990.000.000.000.000,-0.16
Palau,1985_1990,1985-05-21T12:00:00Z,7.775,134.575,0,0.0,-0.21,29.01,-0.15
Palau,1985_1990,1985-05-22T12:00:00Z,7.775,134.575,0,0.0,-0.2,29.02,-0.14
Palau,1985_1990,1985-05-23T12:00:00Z,7.775,134.575,0,0.0,-0.34,28.88,-0.28
Palau,1985_1990,1985-05-24T12:00:00Z,7.775,134.575,1,0.0,0.05,29.27,0.11
Palau,1985_1990,1985-05-25T12:00:00Z,7.775,134.575,1,0.0,0.73,29.95,0.78
